ITEM_CD,ITEM_NM,ITEM_GROUP_NM,SPEC,BASIC_UNIT,HS_CD
2811031ES,"PACKING,U/SB40/NOK,IUIS/70X80X6/U641",SB40,", URETHANE, -",EA,8431.49-9000
2811032,"PACKING,U/NOK,IUIS/100X115X9/U641",SB50,"NOK IUIS 100*115*9, U641, -",EA,8431.49-9000
2811033,"PACKING,U/NOK,IUIS/180X200X12/U641",SB151,"NOK,IUIS/180X200X12",EA,8431.49-9000
2811039,"PACKING,U/NOK,IUIS/D170XD185X9/UH05",SB130,"NOK,IUIS/D170XD185X9",EA,8431.49-9000
2811040,"SEAL,STEP/NOK,SPNY167X182.5X6.1/05ZF",SB130,"NOK,SPNY167x182.5x6.1, 05ZF, -",EA,8431.49-9000
2811041,"SEAL,STEP/NOK,SPNY165X180.5X6.1/05ZF",SB130,"NOK,SPNY165X180.5X6.1",EA,8431.49-9000
2811043,"PACKING,U/NOK,IUIS/175X190X9/UH05",SB140,"NOK,IUIS/175X190X9",EA,8431.49-9000
2811044,"SEAL,STEP/NOK,SPNS37+O-RING/05ZF",SB10,"NOK SPNS37+O-RING, 05ZF, -",EA,8431.49-9000
2811045,"SEAL,STEP/NOK,SPNS57+O-RING/05ZF",SB35,"NOK SPNS57+O-RING, 05ZF, -",EA,8431.49-9000
2811045ES,"SEAL,STEP/NOK,SPNS57+O-RING/05ZF",SB35,"NOK SPNS57+O-RING, 05ZF, -",EA,8431.49-9000
2811046,"SEAL,STEP/NOK,SPNS68+O-RING/05ZF",SB40,"NOK SPNS68+O-RING, 05ZF, -",EA,8431.49-9000
2811046ES,"SEAL,STEP/NOK,SPNS68+O-RING/05ZF",SB40,", 05ZF, -",EA,8431.49-9000
2811047,"SEAL,STEP/NOK,SPNS73+O-RING/05ZF",SB43,"NOK SPNS73+O-RING, 05ZF, -",EA,8431.49-9000
2811047ES,"SEAL,STEP/NOK,SPNS73+O-RING/05ZF",SB43,"NOK SPNS73+O-RING, 05ZF, -",EA,8431.49-9000
2811048,"SEAL,STEP/NOK,SPNS83.5+O-RING/05ZF",SB45,"NOK SPNS68+O-RING, 05ZF, -",EA,8431.49-9000
2811048ES,"SEAL,STEP/NOK,SPNS83.5+O-RING/05ZF",SB45,"NOK SPNS68+O-RING, 05ZF, -",EA,8431.49-9000
2811049,"SEAL,STEP/NOK,SPNS123.5+O-RING/05ZF",SB60,"NOK,SPNS123.5+O-RING, 05ZF, -",EA,8431.49-9000
2811049ES,"SEAL,STEP/NOK,SPNS123.5+O-RING/05ZF",SB60,"NOK,SPNS123.5+O-RING, 05ZF, -",EA,8431.49-9000
2811050,"PACKING,U/SB40P/NOK ISI 80X90X6",SB40P,"NOK ISI 80X90X6, 05ZF, -",EA,8431.49-9000
2811051,"SEAL,STEP/SB40P/NOK SPNS78.5+O-RING",SB40P,"NOK SPNS78.5+O-RING, 05ZF, -",EA,8431.49-9000
2811055,"PACKING,U/NOK,ISI/40X50X6",SB10,"NOK ISI 40*50*6, U801, -",EA,8431.49-9000
2811060,"PACKING,ROD/NOK,ISI 60X70X6",SB35,"NOK ISI 60*70*6, U801, -",EA,
2811060ES,"PACKING,ROD/NOK,ISI 60X70X6",SB35,"NOK ISI 60*70*6, U801, -",EA,8431.49-9000
2811064,"PACKING,U/SB45/NOK,ISI/85X100X9/URETHANE",SB45,"NOK ISI 85*100*9, U801, -",EA,8431.49-9000
2811064ES,"PACKING,U/SB45/NOK,ISI/85X100X9/URETHANE",SB45,"NOK ISI 85x100x9, U593, -",EA,8431.49-9000
2811066,"SEAL,STEP/NOK,SPNS133+O-RING/05ZF",SB70,"NOK,SPNS133+O-RING, 05ZF, -",EA,8431.49-9000
2811066ES,"SEAL,STEP/NOK,SPNS133+O-RING/05ZF",SB70,"NOK,SPNS133+O-RING, 05ZF, -",EA,8431.49-9000
2811067,"PACKING,U/SB50/NOK,ISI/98X112X8.5",SB50,"9X112X112, BKU930, -",EA,8431.49-9000
2811067ES,"PACKING,U/SB50/NOK,ISI/98X112X8.5",SB50,"9X112X112, BKU930, -",EA,8431.49-9000
